_id,episodeTitle,eventsNum,rssLifeExpectancy,fetchStatus,rssRegDate,day
574f68795adbab8a4a4e7fb8,Obama warns about politicians preying on economic anxiety,0,0,6,2016-06-02T01:57:54.832,6
574f68795adbab8a4a4e7fbb,"Fed survey finds modest growth, higher wages in many regions",19,410,6,2016-06-02T01:57:59.312,6
574f6f195adbab8a4a4e8111,Feds: Surgery tech accused of stealing drugs is HIV positive,0,0,6,2016-06-02T02:26:12.554,6
574f737b5adbab8a4a4e8435,Uber raises $3.5 billion from Saudi investment fund,0,0,6,2016-06-02T02:44:54.350,6
574f737b5adbab8a4a4e8437,California Poll Shows Clinton and Sanders In Dead Heat,43,443,6,2016-06-02T02:44:57.295,6
574f77dd5adbab8a4a4e8735,Trump blasts PGA Tour over Mexico plan,97,1796,6,2016-06-02T03:03:39.639,6
574f7e715adbab8a4a4e8aab,State Dep't admits official censored 2013 briefing video,0,0,6,2016-06-02T03:31:44.423,6
574f90365adbab8a4a4e8f11,"It's Close in California: Clinton 49%, Sanders 47%",0,0,6,2016-06-02T04:47:31.289,6
574f90365adbab8a4a4e8f13,"UN Council Condemns North Korea Missile Launches, Threatens Action",0,0,6,2016-06-02T04:47:34.312,6
574f92665adbab8a4a4e90aa,"Sanders, Clinton neck-and-neck in CA",0,0,6,2016-06-02T04:56:54.258,6
574f96cd5adbab8a4a4e93e3,"Some moving, others staying after latest Texas flooding",4,116,6,2016-06-02T05:15:41.077,6
574f9b315adbab8a4a4e95b3,"Police: Passer-by, wife killed in Arizona domestic dispute",0,0,6,2016-06-02T05:34:22.817,6
574f9b315adbab8a4a4e95b4,Strong earthquake hits western Indonesia,0,0,6,2016-06-02T05:34:24.133,6
574f9d615adbab8a4a4e95e3,Clinton raises $27M for primary campaign in May,18,353,6,2016-06-02T05:43:45.725,6
574f9f935adbab8a4a4e95ed,The Latest: Kessel scores in 2nd period; Pens take 1-0 lead,0,0,6,2016-06-02T05:53:07.001,6
574fa8805adbab8a4a4e974f,Prosecutors: Gun buyer in massacre knew aspiring jihadists,0,0,6,2016-06-02T06:31:12.911,6
574faccf5adbab8a4a4e992b,Calvin Harris and Taylor Swift split after 15 months,0,0,6,2016-06-02T06:49:32.389,6
574fb5be5adbab8a4a4e9c12,Retail sales point to more consumer softness,0,0,6,2016-06-02T07:27:36.661,6
574fba235adbab8a4a4ea081,US designates North Korea 'primary ...,0,0,6,2016-06-02T07:46:16.021,6
574fba235adbab8a4a4ea088,Oil prices fall as Opec seen unlikely to agree to output restraint,0,0,6,2016-06-02T07:46:27.537,6
574fc77c5adbab8a4a4ea250,Federal regulators propose restrictions on payday lenders,0,0,6,2016-06-02T08:43:21.192,6
574fc9c05adbab8a4a4ea2a3,Colleagues remember UCLA shooting victim as 'gentle soul',0,0,6,2016-06-02T08:53:02.730,6
574fe02b5adbab8a4a4eac1b,"ECB to hold fire, let current stimulus programs work",0,0,6,2016-06-02T10:28:43.767,6
575083905adbaba449e5d2c6,Woman on 'kill list' in UCLA shooter's home found dead,0,0,6,2016-06-02T22:05:35.167,6
575083905adbaba449e5d2c7,APNewsBreak: Official says Prince died of opioid overdose,274,1291,6,2016-06-02T22:05:36.556,6
575083905adbaba449e5d2c9,"Germany Recognizes Armenian Genocide, Drawing Turkey‚??s Ire",0,0,6,2016-06-02T22:05:41.236,6
575083905adbaba449e5d2ca,Shutters come down on BHS after no buyer is found for retail chain,0,0,6,2016-06-02T22:05:42.580,6
575083905adbaba449e5d2cc,"'I was playing football, I knew nothing,' says Messi at tax fraud trial",0,0,6,2016-06-02T22:05:48.019,6
575083905adbaba449e5d2cd,Bank of England's new 5-pound note features Churchill,0,0,6,2016-06-02T22:05:49.420,6
575083905adbaba449e5d2ce,"Energy, utilities lead a slide in stocks; oil prices fall",0,0,6,2016-06-02T22:05:50.905,6
575083905adbaba449e5d2cf,The Latest: France's Hollande promises to declare a disaster,237,3071,6,2016-06-02T22:05:52.419,6
57508c885adbaba449e5d3f9,"Police: Phoenix woman kills her 3 young sons, stabs herself",0,0,6,2016-06-02T22:44:08.017,6
575093335adbaba449e5d58f,Boxing legend Muhammad Ali hospitalized with respiratory issue,0,0,6,2016-06-02T23:12:35.598,6
